Date,Open,High,Low,Close,Adj Close,Var.Day(%),Class,Volume
2001-06-06,15393,15569,15268,15329,15329,-0.43,Baixa,0
2001-06-07,15319,15546,15201,15464,15464,0.88,Alta,0
2001-06-08,15469,15644,15355,15366,15366,-0.63,Baixa,0
2001-06-11,15291,15397,15159,15224,15224,-0.92,Baixa,0
2001-06-12,15238,15238,14956,15173,15173,-0.33,Baixa,0
2001-06-13,15175,15600,15175,15403,15403,1.52,Alta,0
2001-06-15,15386,15386,14964,14985,14985,-2.71,Baixa,0
2001-06-18,14982,14982,14333,14355,14355,-4.20,Baixa,0
2001-06-19,14375,14541,14245,14401,14401,0.32,Alta,0
2001-06-20,14396,14599,14393,14571,14571,1.18,Alta,0
2001-06-21,14534,14841,14506,14823,14823,1.73,Alta,0
2001-06-22,14870,15104,14677,14682,14682,-0.95,Baixa,0
2001-06-25,14682,14871,14479,14540,14540,-0.97,Baixa,0
2001-06-26,14521,14620,14401,14460,14460,-0.55,Baixa,0
2001-06-27,14477,14630,14265,14308,14308,-1.05,Baixa,0
2001-06-28,14321,14426,14164,14391,14391,0.58,Alta,0
2001-06-29,14412,14640,14376,14560,14560,1.17,Alta,0
2001-07-02,14579,14659,14483,14555,14555,-0.03,De Lado,0
2001-07-03,14561,14771,14325,14353,14353,-1.39,Baixa,0
2001-07-04,14352,14395,13980,14056,14056,-2.07,Baixa,0
2001-07-05,14084,14281,13943,14048,14048,-0.06,Baixa,0
2001-07-06,14030,14062,13788,13907,13907,-1.00,Baixa,0
2001-07-10,13930,14060,13564,13570,13570,-2.42,Baixa,0
2001-07-11,13508,13853,13361,13812,13812,1.78,Alta,0
2001-07-12,13812,13987,13636,13916,13916,0.75,Alta,0
2001-07-13,13907,14087,13737,14078,14078,1.16,Alta,0
2001-07-16,14081,14120,13811,13811,13811,-1.90,Baixa,0
2001-07-17,13813,14218,13813,14169,14169,2.59,Alta,0
2001-07-18,14171,14236,13778,13791,13791,-2.67,Baixa,0
2001-07-19,13795,13953,13641,13762,13762,-0.21,Baixa,0
2001-07-20,13766,14092,13659,14092,14092,2.40,Alta,0
2001-07-23,14108,14239,14058,14068,14068,-0.17,Baixa,0
2001-07-24,14049,14106,13725,13738,13738,-2.35,Baixa,0
2001-07-25,13738,13956,13679,13956,13956,1.59,Alta,0
2001-07-26,13963,13980,13736,13810,13810,-1.05,Baixa,0
2001-07-27,13825,13910,13759,13910,13910,0.72,Alta,0
2001-07-30,13948,14117,13704,13704,13704,-1.48,Baixa,0
2001-07-31,13703,13830,13639,13754,13754,0.36,Alta,0
2001-08-01,13757,13837,13606,13743,13743,-0.08,Baixa,0
2001-08-02,13746,13846,13690,13823,13823,0.58,Alta,0
2001-08-03,13840,13902,13733,13838,13838,0.11,Alta,0
2001-08-06,13856,14067,13854,14047,14047,1.51,Alta,0
2001-08-07,14049,14143,14003,14036,14036,-0.08,Baixa,0
2001-08-08,14036,14113,13917,13919,13919,-0.83,Baixa,0
2001-08-09,13921,13930,13705,13834,13834,-0.61,Baixa,0
2001-08-10,13836,13920,13738,13915,13915,0.59,Alta,0
2001-08-13,13914,13929,13716,13771,13771,-1.03,Baixa,0
2001-08-14,13770,13841,13732,13829,13829,0.42,Alta,0
2001-08-15,13834,13856,13615,13659,13659,-1.23,Baixa,0
2001-08-16,13686,13722,13415,13509,13509,-1.10,Baixa,0
2001-08-17,13507,13507,13010,13044,13044,-3.44,Baixa,0
2001-08-20,13044,13228,12916,13115,13115,0.54,Alta,0
2001-08-21,13122,13186,12886,12892,12892,-1.70,Baixa,0
2001-08-22,12907,13161,12853,12952,12952,0.47,Alta,0
2001-08-23,12961,13013,12703,12751,12751,-1.55,Baixa,0
2001-08-24,12749,13007,12681,13001,13001,1.96,Alta,0
2001-08-27,13000,13048,12849,12996,12996,-0.04,De Lado,0
2001-08-28,13005,13114,12942,13018,13018,0.17,Alta,0
2001-08-29,13040,13182,13012,13077,13077,0.45,Alta,0
2001-08-30,13074,13114,12798,12892,12892,-1.41,Baixa,0
